"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5"
1,-661.595779747166,-699.311328212001,183.282039645728,120.611394454927,81.0818105153122
0,1701.45168480426,-360.551556197297,-501.805593909159,335.423655570174,442.378932550656
1,-886.894434109927,-293.765782185969,67.1553098752215,78.2637628355406,473.715921439537
4,-165.755602433194,300.182760531066,-64.1454851674448,759.706260757834,425.844378698575
0,1923.70971597085,-449.153069225929,-548.613023198217,188.555147277516,651.736272990212
0,487.751910628515,192.752402168384,-6.43585019483282,-40.85659724261,47.260657981078
7,-672.323164443347,464.8039744764,-313.660058813361,-136.13073047471,325.544408929864
3,-114.381814688983,-20.7271425797818,-504.583555994394,-89.6493342125489,253.972945316254
5,350.229365543139,141.012973994038,-389.030657377605,-619.261383861779,-288.790581047288
3,297.392088416021,-807.412235983932,-39.372848532913,-51.9661507644114,43.3905069747445
8,263.682307310422,392.782425789664,482.817089890137,-1087.32309181853,-316.636550297299
9,-306.529272115381,351.819554520642,469.101372061693,-647.33110927132,-112.866835523026
1,-965.675933266768,-358.837253931811,97.9625916523007,152.551256607799,413.307243793451
3,-14.0706665479634,-259.495998319245,-1052.17379060315,-198.270974752291,-232.973624393936
3,500.107520675412,-644.481154975769,-578.64790886853,3.61123296836637,-257.247945921956
1,-964.444696637707,-282.389737536482,-12.5147057766567,181.653095214087,571.358769554873
2,-2.61889858210531,-667.834253825227,-623.257086062137,-240.738422159558,-807.879874269659
0,979.465271656449,-249.362449252861,829.114158007328,-556.901908947095,686.861908964747
7,-637.019664648602,351.011227283429,-47.0676359322979,-159.834634991425,400.193036199166
5,966.106892985151,-431.471553982242,-585.990075051709,746.70721047135,-635.91011725437
8,-239.633293982399,-244.714653540034,301.319924750035,-569.288774715831,-260.08852226995
6,187.86580218242,-90.0441806669421,744.544422537454,350.310414806871,332.067158707311
2,-36.9528996442099,-1246.3303791906,-410.157994328117,179.107356815858,-349.725971661569
0,1316.82076433542,-315.660833399214,-416.004489188903,-167.684147439976,814.583145433367
2,-315.48006705122,-525.31635501075,-681.763074878405,98.0295125093178,-306.850845853972
3,246.23609187864,-837.85677039174,-270.761357510077,-310.231702720508,365.578085958627
6,38.3791372932871,370.393256931791,431.632466765733,486.751528070493,-440.606719284715
9,-610.869696859101,-33.9236237608011,294.36877934878,-495.950723244006,-209.703364326063
9,-465.109598931824,699.456024258506,230.347465370666,-699.340770078279,-464.164668805557
7,-39.2508689914981,968.375313200453,-512.094966289961,-335.841739408594,237.185046746931
8,-341.490294595522,-203.61124849185,501.471865248961,-614.558881697768,68.3773115861768
9,-130.618030086565,560.354236175776,-156.108370029605,423.455428278754,-38.3602138739301
4,460.400759299324,590.301661188759,-102.627721608514,-86.5358498765703,168.269243938487
9,-132.125784110375,874.440105951788,615.962398778917,-435.355186506818,-166.685381356869
2,-278.634566961686,346.612392879786,324.118702007379,462.780157842645,-274.37291618899
1,-646.720813881359,-187.713856377339,-194.303257406188,271.446239182838,412.55833440047
3,-271.702252399278,-230.405772373152,-709.3697702597,-375.812255075257,-356.995532490874
1,-880.280975365348,-638.129506592472,152.636423447756,213.985935388178,424.205261866553
